"","accommodates","bedrooms","beds","city","experience_stay","host_listings_count","host_has_profile_pic","listing_price","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","instant_bookable","private_stay"
"302",1,1,1,"Oakland",0,1,"t",57,1,7,203,4.89,"f",0
"303",2,1,1,"Oakland",0,5,"t",100,2,1125,12,5,"f",1
"304",2,1,1,"Oakland",0,1,"t",63,2,1125,48,4.65,"t",0
"305",1,1,1,"Oakland",0,1,"t",38,2,99,33,5,"f",0
"306",2,1,1,"Oakland",0,3,"t",105,3,120,18,4.83,"f",0
"307",8,4,4,"Oakland",0,2,"t",315,2,1125,11,5,"f",1
"308",2,1,1,"Oakland",0,27,"t",48,1,21,40,4.3,"t",0
"309",6,2,3,"Oakland",0,2,"t",185,2,29,335,4.76,"f",1
"310",2,1,2,"Oakland",0,1,"t",73,30,90,8,4.88,"f",1
"311",3,2,2,"Oakland",0,1,"t",77,270,300,6,5,"f",1
"312",6,3,3,"Oakland",0,4,"t",150,2,28,393,4.88,"f",0
"313",6,3,3,"Oakland",0,1,"t",700,3,10,51,4.98,"f",1
"314",1,1,1,"Oakland",0,27,"t",25,4,25,8,4,"f",0
"315",2,1,1,"Oakland",0,7,"t",133,1,28,301,4.88,"f",1
"316",1,1,1,"Oakland",0,2,"t",69,3,180,125,4.95,"t",0
"317",6,3,3,"Oakland",0,3,"t",105,10,29,22,4.09,"f",1
"318",12,5,6,"Oakland",0,11,"t",294,2,1125,282,4.63,"t",1
"319",6,3,3,"Oakland",0,1,"t",255,3,18,14,4.54,"f",1
"320",2,1,1,"Oakland",0,1,"t",144,2,1125,347,4.91,"t",1
"321",2,1,1,"Oakland",0,1,"t",105,3,12,330,4.85,"f",1
"322",3,1,1,"Oakland",0,1,"t",180,2,3,18,4.89,"t",1
"323",2,1,1,"Oakland",0,1,"t",49,28,28,46,4.46,"f",0
"324",8,3,5,"Oakland",0,4,"t",400,3,90,51,4.96,"t",1
"325",2,1,1,"Oakland",0,1,"t",70,1,28,312,4.89,"f",0
